disease_id,disease_name,disease_link,disease_img,symptoms,symptom_ids,related_diseases,related_disease_ids,department,synonyms
31610,RS바이러스 감염증(RS virus infection),https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=31610,https://www.amc.seoul.kr/asan/file/imageView.do?fileId=F000000004480,"기침, 가래, 열, 빈호흡, 콧물, 코막힘, 청색증","SS000868,SS000859,SS000684,SS000875,SS000748,SS000744,SS000834","폐렴, 급성 기관지염, 상기도 감염","31631,31810,31816",감염내과,"RSV,RS바이러스,RS바이러스 감염,알에스바이러스,호흡기세포융합바이러스,호흡기세포융합바이러스 감염증"
31292,각막염(Keratitis),https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=31292,https://www.amc.seoul.kr/asan/file/imageView.do?fileId=F000000004185,"안구혼탁, 눈의 충혈, 눈물흘림, 눈의 통증, 시력 감소, 눈부심","SS000217,SS000186,SS000181,SS000187,SS000204,SS000182","각막 혼탁과 흉터, 진균성 각막 궤양, 각막 궤양, 헤르페스 바이러스 감염","31294,32237,32224,31538",안과,각막염증
31708,간농양(Liver abscess),https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=31708,https://www.amc.seoul.kr/asan/file/imageView.do?fileId=F000000004088,"황달, 기운없음, 오한, 열, 복부 통증, 오심, 설사, 압통, 구토, 간비대","SS000857,SS000621,SS000687,SS000684,SS000398,SS000416,SS000527,SS000439,SS000386,SS000384",아메바성 간농양,32049,"감염내과, 
																소화기내과, 
																간담도췌외과, 
																간이식ㆍ간담도외과",간의 고름집
31618,감염성 근육염(Infective myositis),https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=31618,https://www.amc.seoul.kr/asan/file/imageView.do?fileId=F000000004410,"피부염증, 발진, 열감, 압통, 환부 부종","SS000852,SS000810,SS000685,SS000439,SS000729",피부근육염,30840,감염내과,바이러스성 근육염
32450,감염성 단핵구증(Infectious mononucleosis),https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=32450,https://www.amc.seoul.kr/asan/file/imageView.do?fileId=F000000004685,"열, 목의 통증, 열감, 삼키기 곤란, 오한, 기운없음, 압통, 발진","SS000684,SS000350,SS000685,SS000352,SS000687,SS000621,SS000439,SS000810","성병, 면역결핍증, 경부 림프절염, 후천성 면역결핍증","32221,31815,31740,31627","감염내과, 
																혈액내과","전염성단핵세포증,키스병,엡스타인-바 바이러스 감염증"
31604,감염성 홍반(Erythema infectiosum),https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=31604,https://www.amc.seoul.kr/asan/file/imageView.do?fileId=F000000004425,"두통, 안면홍조, 열, 권태감, 식욕부진","SS000284,SS000305,SS000684,SS000735,SS000103",감염성 홍반,31604,감염내과,"전염성 홍반,제5병"
32850,거대세포 바이러스 질환(Cytomegaloviral diseases),https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=32850,https://www.amc.seoul.kr/asan/file/imageView.do?fileId=F000000004599,"열, 정신 지체, 태아 저체중, 무증상, 청력장애, 난청, 궤양, 피로감","SS000684,SS000135,SS000039,SS000077,SS000054,SS000049,SS000789,SS000723","단순 포진성 뇌염, 대상포진, 헤르페스 바이러스 감염, 감염성 단핵구증, 대상포진 후 신경통, 구순포진","32838,31541,31538,32450,31888,32160","감염내과, 
																소아감염과",사이토메갈로 바이러스 감염
32223,결막염(Conjunctivitis),https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=32223,https://www.amc.seoul.kr/asan/file/imageView.do?fileId=F000000004645,"눈꼽, 눈의 자극감, 눈부심, 눈의 피로, 눈의 충혈","SS000180,SS000185,SS000182,SS000188,SS000186","출혈성 결막염, 백일해, 각막 궤양, 안구 건조증, 알레르기성 결막염, 각막 혼탁과 흉터","32226,31666,32224,31289,31529,31294","안과, 
																소아안과",
32191,결핵(Tuberculosis),https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=32191,https://www.amc.seoul.kr/asan/file/imageView.do?fileId=F000000003657,"열, 객혈, 체중감소, 기침, 가래","SS000684,SS000863,SS000712,SS000868,SS000859","폐결핵, 결핵성 골수염, 위장관 결핵, 결핵성 수막염, 속립성 결핵, 결핵성 임파선염, 결핵성 복막염","31847,31719,31726,31672,31744,31741,31727","감염내과, 
																호흡기내과",
31719,결핵성 골수염(Tuberculous osteomyelitis),https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=31719,https://www.amc.seoul.kr/asan/file/imageView.do?fileId=F000000003884,"식욕부진, 근육경련, 뼈의 변형, 관절통, 체중감소, 열","SS000103,SS000736,SS000739,SS000779,SS000712,SS000684","결핵성 임파선염, 결핵성 수막염, 척추 골수염, 위장관 결핵, 폐결핵, 속립성 결핵, 골수염, 결핵, 결핵성 복막염","31741,31672,31714,31726,31847,31744,31718,32191,31727",감염내과,
